query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time,best_retrieved_ids
141,300m,72,256,1,5,2.221120672941208,"[256343955, 115983765, 272254294, 211422803, 241895279]"
142,300m,72,256,1,5,2.221120672941208,"[195213819, 285267748, 195276034, 132094197, 109876089]"
143,300m,72,256,1,5,2.221120672941208,"[193237893, 101591507, 55729924, 194741001, 48429908]"
144,300m,72,256,1,5,2.221120672941208,"[28542321, 94886358, 61988430, 200639384, 106618145]"
145,300m,72,256,1,5,2.221120672941208,"[158241344, 262786726, 35506465, 269483341, 138732571]"
146,300m,72,256,1,5,2.221120672941208,"[282835417, 94479661, 198383382, 80184097, 187314933]"
147,300m,72,256,1,5,2.221120672941208,"[95892057, 28121729, 87742785, 296064038, 80319033]"
148,300m,72,256,1,5,2.221120672941208,"[71280009, 95635881, 163424852, 163464817, 100527005]"
149,300m,72,256,1,5,2.221120672941208,"[194085273, 43236799, 245424510, 194125449, 23781916]"
150,300m,72,256,1,5,2.221120672941208,"[132817667, 59680335, 37010459, 195097925, 294937515]"
151,300m,72,256,1,5,2.221120672941208,"[198792342, 119054950, 122498423, 140935518, 71588031]"
152,300m,72,256,1,5,2.221120672941208,"[105570492, 276670669, 262073926, 43820742, 255887951]"
153,300m,72,256,1,5,2.221120672941208,"[14364632, 60120932, 13266161, 74689141, 98244772]"
154,300m,72,256,1,5,2.221120672941208,"[115100181, 262783279, 223545910, 228977617, 25488434]"
155,300m,72,256,1,5,2.221120672941208,"[227716460, 242093159, 181561685, 23640642, 63116691]"
156,300m,72,256,1,5,2.221120672941208,"[2155163, 194953949, 194960142, 215311216, 144690079]"
157,300m,72,256,1,5,2.221120672941208,"[217514137, 22404047, 221715805, 135075794, 139290105]"
158,300m,72,256,1,5,2.221120672941208,"[232479446, 98895669, 102816328, 214770367, 187802081]"
159,300m,72,256,1,5,2.221120672941208,"[238638162, 55088653, 292680052, 55032120, 206028040]"
160,300m,72,256,1,5,2.221120672941208,"[108932684, 30829057, 222750403, 75577939, 75522853]"
161,300m,72,256,1,5,2.221120672941208,"[44065614, 179348278, 196227061, 43290414, 207472696]"
162,300m,72,256,1,5,2.221120672941208,"[51541569, 242686067, 154230949, 156802197, 210247910]"
163,300m,72,256,1,5,2.221120672941208,"[239041397, 86523242, 40695529, 283805603, 238288334]"
164,300m,72,256,1,5,2.221120672941208,"[139798550, 241518463, 139661159, 197122395, 197307204]"
165,300m,72,256,1,5,2.221120672941208,"[225308057, 236165849, 271202674, 225294851, 216633273]"
166,300m,72,256,1,5,2.221120672941208,"[91063653, 87664472, 188483153, 91416017, 85401590]"
167,300m,72,256,1,5,2.221120672941208,"[224559852, 290855427, 160614502, 72907774, 123707077]"
168,300m,72,256,1,5,2.221120672941208,"[244510764, 66921421, 133988263, 136010040, 119908493]"
169,300m,72,256,1,5,2.221120672941208,"[125640005, 14409541, 146605441, 15457791, 140065711]"
170,300m,72,256,1,5,2.221120672941208,"[290422391, 298811605, 256587053, 268654926, 36413806]"
171,300m,72,256,1,5,2.221120672941208,"[276967714, 238030946, 264597840, 113580006, 166921826]"
