query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time
13152,300m,72,256,32,5,2.938233925819397
13184,300m,72,256,32,5,2.938233925819397
13216,300m,72,256,32,5,2.938233925819397
13248,300m,72,256,32,5,2.938233925819397
13280,300m,72,256,32,5,2.938233925819397
13312,300m,72,256,32,5,2.938233925819397
13344,300m,72,256,32,5,2.938233925819397
13376,300m,72,256,32,5,2.938233925819397
13408,300m,72,256,32,5,2.938233925819397
13440,300m,72,256,32,5,2.938233925819397
13472,300m,72,256,32,5,2.938233925819397
13504,300m,72,256,32,5,2.938233925819397
13536,300m,72,256,32,5,2.938233925819397
13568,300m,72,256,32,5,2.938233925819397
13600,300m,72,256,32,5,2.938233925819397
13632,300m,72,256,32,5,2.938233925819397
13664,300m,72,256,32,5,2.938233925819397
13696,300m,72,256,32,5,2.938233925819397
13728,300m,72,256,32,5,2.938233925819397
13760,300m,72,256,32,5,2.938233925819397
13792,300m,72,256,32,5,2.938233925819397
13824,300m,72,256,32,5,2.938233925819397
13856,300m,72,256,32,5,2.938233925819397
13888,300m,72,256,32,5,2.938233925819397
13920,300m,72,256,32,5,2.938233925819397
13952,300m,72,256,32,5,2.938233925819397
13984,300m,72,256,32,5,2.938233925819397
14016,300m,72,256,32,5,2.938233925819397
14048,300m,72,256,32,5,2.938233925819397
14080,300m,72,256,32,5,2.938233925819397
14112,300m,72,256,32,5,2.938233925819397
14144,300m,72,256,32,5,2.938233925819397
14176,300m,72,256,32,5,2.938233925819397
14208,300m,72,256,32,5,2.938233925819397
14240,300m,72,256,32,5,2.938233925819397
14272,300m,72,256,32,5,2.938233925819397
14304,300m,72,256,32,5,2.938233925819397
14336,300m,72,256,32,5,2.938233925819397
14368,300m,72,256,32,5,2.938233925819397
14400,300m,72,256,32,5,2.938233925819397
14432,300m,72,256,32,5,2.938233925819397
14464,300m,72,256,32,5,2.938233925819397
14496,300m,72,256,32,5,2.938233925819397
14528,300m,72,256,32,5,2.938233925819397
14560,300m,72,256,32,5,2.938233925819397
14592,300m,72,256,32,5,2.938233925819397
14624,300m,72,256,32,5,2.938233925819397
14656,300m,72,256,32,5,2.938233925819397
14688,300m,72,256,32,5,2.938233925819397
14720,300m,72,256,32,5,2.938233925819397
14752,300m,72,256,32,5,2.938233925819397
14784,300m,72,256,32,5,2.938233925819397
14816,300m,72,256,32,5,2.938233925819397
14848,300m,72,256,32,5,2.938233925819397
14880,300m,72,256,32,5,2.938233925819397
14912,300m,72,256,32,5,2.938233925819397
14944,300m,72,256,32,5,2.938233925819397
14976,300m,72,256,32,5,2.938233925819397
15008,300m,72,256,32,5,2.938233925819397
15040,300m,72,256,32,5,2.938233925819397
15072,300m,72,256,32,5,2.938233925819397
15104,300m,72,256,32,5,2.938233925819397
15136,300m,72,256,32,5,2.938233925819397
15168,300m,72,256,32,5,2.938233925819397
15200,300m,72,256,32,5,2.938233925819397
15232,300m,72,256,32,5,2.938233925819397
15264,300m,72,256,32,5,2.938233925819397
15296,300m,72,256,32,5,2.938233925819397
15328,300m,72,256,32,5,2.938233925819397
15360,300m,72,256,32,5,2.938233925819397
15392,300m,72,256,32,5,2.938233925819397
15424,300m,72,256,32,5,2.938233925819397
15456,300m,72,256,32,5,2.938233925819397
15488,300m,72,256,32,5,2.938233925819397
15520,300m,72,256,32,5,2.938233925819397
15552,300m,72,256,32,5,2.938233925819397
15584,300m,72,256,32,5,2.938233925819397
15616,300m,72,256,32,5,2.938233925819397
15648,300m,72,256,32,5,2.938233925819397
15680,300m,72,256,32,5,2.938233925819397
15712,300m,72,256,32,5,2.938233925819397
15744,300m,72,256,32,5,2.938233925819397
15776,300m,72,256,32,5,2.938233925819397
15808,300m,72,256,32,5,2.938233925819397
15840,300m,72,256,32,5,2.938233925819397
15872,300m,72,256,32,5,2.938233925819397
15904,300m,72,256,32,5,2.938233925819397
15936,300m,72,256,32,5,2.938233925819397
15968,300m,72,256,32,5,2.938233925819397
16000,300m,72,256,32,5,2.938233925819397
16032,300m,72,256,32,5,2.938233925819397
16064,300m,72,256,32,5,2.938233925819397
16096,300m,72,256,32,5,2.938233925819397
16128,300m,72,256,32,5,2.938233925819397
16160,300m,72,256,32,5,2.938233925819397
16192,300m,72,256,32,5,2.938233925819397
16224,300m,72,256,32,5,2.938233925819397
16256,300m,72,256,32,5,2.938233925819397
16288,300m,72,256,32,5,2.938233925819397
16320,300m,72,256,32,5,2.938233925819397
16352,300m,72,256,32,5,2.938233925819397
16384,300m,72,256,32,5,2.938233925819397
16416,300m,72,256,32,5,2.938233925819397
16448,300m,72,256,32,5,2.938233925819397
16480,300m,72,256,32,5,2.938233925819397
16512,300m,72,256,32,5,2.938233925819397
16544,300m,72,256,32,5,2.938233925819397
16576,300m,72,256,32,5,2.938233925819397
16608,300m,72,256,32,5,2.938233925819397
16640,300m,72,256,32,5,2.938233925819397
16672,300m,72,256,32,5,2.938233925819397
16704,300m,72,256,32,5,2.938233925819397
16736,300m,72,256,32,5,2.938233925819397
16768,300m,72,256,32,5,2.938233925819397
16800,300m,72,256,32,5,2.938233925819397
16832,300m,72,256,32,5,2.938233925819397
16864,300m,72,256,32,5,2.938233925819397
16896,300m,72,256,32,5,2.938233925819397
16928,300m,72,256,32,5,2.938233925819397
16960,300m,72,256,32,5,2.938233925819397
16992,300m,72,256,32,5,2.938233925819397
17024,300m,72,256,32,5,2.938233925819397
17056,300m,72,256,32,5,2.938233925819397
17088,300m,72,256,32,5,2.938233925819397
17120,300m,72,256,32,5,2.938233925819397
17152,300m,72,256,32,5,2.938233925819397
17184,300m,72,256,32,5,2.938233925819397
17216,300m,72,256,32,5,2.938233925819397
17248,300m,72,256,32,5,2.938233925819397
17280,300m,72,256,32,5,2.938233925819397
17312,300m,72,256,32,5,2.938233925819397
17344,300m,72,256,32,5,2.938233925819397
17376,300m,72,256,32,5,2.938233925819397
