query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time,best_retrieved_ids
105,600m,72,24494,1,10,186.7274718284607,"[217785503, 159600953, 579902028, 323935748, 573709832, 28875190, 497452100, 227360900, 377034966, 431523638]"
106,600m,72,24494,1,10,186.59316062927246,"[32891226, 354863233, 596411782, 488736926, 167418361, 497828607, 517538865, 591925910, 166627376, 58848946]"
107,600m,72,24494,1,10,187.49376678466797,"[247104839, 191784785, 357995125, 239148187, 190732530, 578375153, 66375012, 293766889, 398562952, 238251818]"
108,600m,72,24494,1,10,187.93305945396423,"[531803371, 112070412, 137426605, 303715459, 408016726, 592700654, 16440923, 454860629, 573727816, 188559814]"
109,600m,72,24494,1,10,188.19865679740906,"[339155718, 148334984, 136102942, 478206656, 165469929, 27709387, 473422889, 219829816, 137930305, 85347169]"
110,600m,72,24494,1,10,188.20526957511902,"[385769113, 203104715, 40283770, 368110599, 154270230, 30729626, 368671839, 575804413, 74921318, 535765400]"
111,600m,72,24494,1,10,188.16426730155945,"[161416661, 9980046, 563384146, 268291633, 555749580, 385787014, 83072068, 83072044, 294435903, 405546040]"
112,600m,72,24494,1,10,188.25995659828186,"[377446304, 591528875, 33406776, 17506965, 25131839, 322581294, 536216723, 86172821, 523196822, 171597223]"
113,600m,72,24494,1,10,188.30051612854004,"[449302526, 33285225, 592718174, 440082159, 44646774, 583638774, 148968466, 446868315, 97507231, 592718172]"
114,600m,72,24494,1,10,188.2231752872467,"[289481900, 304146423, 84488124, 84488125, 242859885, 276840775, 93863393, 401562638, 579413241, 225379045]"
115,600m,72,24494,1,10,188.22133684158325,"[512224738, 49959631, 68025475, 44640260, 75037765, 93209870, 323500315, 44688408, 252094346, 75037766]"
116,600m,72,24494,1,10,188.27901768684387,"[10791807, 166823767, 499220450, 587255650, 72710750, 331590051, 387997237, 219452106, 587239301, 448218257]"
117,600m,72,24494,1,10,188.61972188949585,"[252015351, 107765794, 64921798, 310338841, 428193560, 328472039, 364912556, 102240323, 380796894, 306842771]"
118,600m,72,24494,1,10,188.42771100997925,"[221811232, 482814534, 161855888, 122131117, 566660059, 107089852, 562737399, 5630875, 331163446, 203502555]"
119,600m,72,24494,1,10,188.31893181800842,"[555158006, 497606658, 239869551, 157881196, 7848153, 494235158, 428479524, 560512106, 131148045, 244236527]"
120,600m,72,24494,1,10,188.24018478393555,"[432278520, 374950273, 61307981, 476045260, 337860279, 193575861, 263411408, 38610481, 33841849, 63300477]"
