query,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
44,"[0, 6, 30, 65, 109, 112, 146, 171, 186, 194, 200, 209]",12,0.17948782444000244,0.1523716631345451,0.3227447336539626,"[19804762, 125079188, 544637200, 580321217, 82643689, 511501683, 92491002, 246109782, 348568156, 502385890]","[171, 171, 171, 200, 109, 171, 171, 200, 200, 171]"
45,"[8, 39, 58, 59, 60, 82, 93, 128, 159, 194, 200, 201, 239, 241]",14,0.21879135956987739,0.08684314182028174,0.22013836896180042,"[403072175, 224653700, 527864603, 124237376, 152566833, 236427025, 262227711, 311017817, 2193316, 23562269]","[128, 128, 128, 128, 239, 128, 128, 8, 8, 128]"
46,"[20, 22, 45, 67, 68, 70, 92, 139, 183, 192, 215, 222, 235]",13,0.15626659709960222,0.14991578133776784,0.25626185411014235,"[321883357, 517409731, 320790454, 253543390, 14436664, 88223668, 286970084, 517409728, 492436548, 467283941]","[68, 68, 68, 68, 68, 68, 68, 68, 68, 68]"
47,"[12, 17, 52, 67, 91, 97, 102, 111, 115, 159, 202, 239]",12,0.24074861034750938,0.0923993643373251,0.3709414948437673,"[116982774, 507222371, 322258847, 402571241, 323045826, 240684525, 356588498, 3616373, 322553955, 203169961]","[202, 52, 17, 52, 67, 202, 91, 159, 115, 12]"
48,"[1, 4, 5, 10, 26, 49, 77, 82, 132, 146, 164, 188, 210, 242]",14,0.28491764049977064,0.09492273349314928,0.19981363124679774,"[349685072, 6137078, 200196231, 506863082, 555255276, 193962431, 359471757, 506885984, 506957619, 132735540]","[49, 146, 77, 146, 4, 4, 210, 82, 77, 49]"
49,"[4, 10, 49, 82, 105, 106, 111, 112, 169, 180, 188, 210, 214, 221, 222]",15,0.2636236581020057,0.19151523429900408,0.32734355962214373,"[381989322, 190554704, 190521044, 420025078, 89466144, 561468444, 517376658, 90182390, 87380864, 453109743]","[49, 222, 49, 221, 180, 222, 214, 180, 106, 106]"
50,"[1, 4, 77, 82, 84, 88, 146, 175]",8,0.2026877007447183,0.04484084481373429,0.1672521872096695,"[272531263, 260063780, 187284049, 90785206, 573791930, 519974609, 166494940, 54376108, 132733566, 124344547]","[84, 84, 84, 84, 84, 84, 84, 82, 84, 84]"
51,"[1, 10, 32, 38, 67, 82, 92, 93, 175, 185]",10,0.27751222997903824,0.06817665975540876,0.2123854274628684,"[543998307, 34036621, 27899657, 46612672, 366146685, 46077019, 288338597, 273579698, 349402047, 298183886]","[93, 92, 38, 92, 93, 92, 175, 175, 92, 92]"
52,"[6, 59, 85, 107, 133, 210]",6,0.16016238695010543,0.028210176154971123,0.17424325086176395,"[115745328, 493163657, 420836435, 420568680, 159999328, 241568515, 53560322, 366096616, 543600790, 298246847]","[59, 59, 107, 59, 59, 59, 59, 59, 59, 59]"
53,"[1, 6, 8, 49, 58, 60, 82, 93, 106, 109, 146, 168, 171, 188]",14,0.3195068221539259,0.09789493633434176,0.22668004977250739,"[47768807, 430079126, 217559975, 16806341, 210125482, 450030792, 72447548, 338764605, 157315489, 212866632]","[6, 6, 168, 6, 49, 6, 6, 6, 8, 146]"
54,"[17, 36, 58, 59, 67, 70, 82, 84, 104, 111, 167, 169, 175, 196, 201, 228, 241]",17,0.40368877071887255,0.12435371242463589,0.30079600209479823,"[340538846, 578698651, 89654179, 206755175, 462966013, 272099125, 542238241, 597489403, 581071217, 581036453]","[17, 17, 82, 17, 17, 17, 17, 17, 17, 17]"
